期号,开奖日期,第1位结果,第2位结果,第3位结果,跨度,和值,杀码公式,杀码,杀码正确,杀码情况,形态,形态预测,形态预测正确,形态情况,十位,个位,和,独胆,独胆正确,独胆情况,直选中奖注数,直选中奖奖金,组3中奖注数,组3中奖奖金,组六中奖注数,组六中奖金额,总销售额,开奖公告
24088,2024-4-7,8,1,9,8,18,8756,7,TRUE,,组六,组六,TRUE,,5,6,11,1,TRUE,,"22,134","1,040",0,346,"40,473",173,"44,957,418",https://pdf.sporttery.cn/28200/24088/24088.pdf
24087,2024-4-6,1,6,1,5,8,15191,5,TRUE,,组三,组六,FALSE,,9,1,10,0,FALSE,,"11,368","1,040","17,665",346,0,173,"44,556,968",https://pdf.sporttery.cn/28200/24087/24087.pdf
24086,2024-4-5,2,7,8,6,17,27016,7,FALSE,,组六,组六,TRUE,,1,6,7,7,TRUE,,"18,480","1,040",0,346,"57,636",173,"45,936,144",https://pdf.sporttery.cn/28200/24086/24086.pdf
24085,2024-4-4,4,9,3,6,16,30096,0,TRUE,,组六,组六,TRUE,,9,6,15,5,FALSE,,"18,642","1,040",0,346,"33,550",173,"44,606,358",https://pdf.sporttery.cn/28200/24085/24085.pdf
24084,2024-4-3,5,4,9,5,18,12661,2,TRUE,,组六,组六,TRUE,,6,1,7,7,FALSE,,"13,932","1,040",0,346,"46,847",173,"44,872,878",https://pdf.sporttery.cn/28200/24084/24084.pdf
24083,2024-4-2,2,3,2,1,7,31306,1,TRUE,,组三,组六,FALSE,,0,6,6,6,FALSE,,"12,594","1,040","13,263",346,0,173,"46,597,150",https://pdf.sporttery.cn/28200/24083/24083.pdf
24082,2024-4-1,5,7,1,6,13,50941,0,TRUE,,组六,组六,TRUE,,4,1,5,5,TRUE,,"24,631","1,040",0,346,"66,298",173,"46,691,026",https://pdf.sporttery.cn/28200/24082/24082.pdf
24081,2024-3-31,9,2,8,7,19,561,6,TRUE,,组六,组六,TRUE,,6,1,7,7,FALSE,,"17,644","1,040",0,346,"37,285",173,"44,652,234",https://pdf.sporttery.cn/28200/24081/24081.pdf
24080,2024-3-30,0,1,2,2,3,48796,8,TRUE,,组六,组六,TRUE,,9,6,15,5,FALSE,,"16,474","1,040",0,346,"30,624",173,"45,332,742",https://pdf.sporttery.cn/28200/24080/24080.pdf
24079,2024-3-29,8,8,9,1,25,6831,8,FALSE,,组三,组六,FALSE,,3,1,4,4,FALSE,,"21,517","1,040","18,175",346,0,173,"49,175,360",https://pdf.sporttery.cn/28200/24079/24079.pdf
24078,2024-3-28,1,2,6,5,9,34331,4,TRUE,,组六,组六,TRUE,,3,1,4,4,FALSE,,"12,105","1,040",0,346,"35,535",173,"50,410,720",https://pdf.sporttery.cn/28200/24078/24078.pdf
24077,2024-3-27,6,2,6,4,14,53141,3,TRUE,,组三,组六,FALSE,,4,1,5,5,FALSE,,"20,884","1,040","29,261",346,0,173,"52,466,140",https://pdf.sporttery.cn/28200/24077/24077.pdf
