期号,开奖日期,开奖号码,间隔
2023106,2023-04-26(三),602,56
2023105,2023-04-25(二),884,25
2023104,2023-04-24(一),398,100
2023103,2023-04-23(日),408,130
2023102,2023-04-22(六),411,154
2023101,2023-04-21(五),654,225
2023100,2023-04-20(四),393,352
2023099,2023-04-19(三),124,1021
2023098,2023-04-18(二),117,44
2023097,2023-04-17(一),875,402
2023096,2023-04-16(日),575,871
2023095,2023-04-15(六),63,1961
2023094,2023-04-14(五),503,100
2023093,2023-04-13(四),379,433
2023092,2023-04-12(三),888,658
2023091,2023-04-11(二),794,387
2023090,2023-04-10(一),274,2767
2023089,2023-04-09(日),134,1182
2023088,2023-04-08(六),783,79
2023087,2023-04-07(五),213,613
2023086,2023-04-06(四),143,471
2023085,2023-04-05(三),568,1885
2023084,2023-04-04(二),838,174
2023083,2023-04-03(一),870,143
2023082,2023-04-02(日),57,3221
2023081,2023-04-01(六),982,382
2023080,2023-03-31(五),884,961
2023079,2023-03-30(四),892,3134
2023078,2023-03-29(三),856,53
2023077,2023-03-28(二),450,591
2023076,2023-03-27(一),886,454
2023075,2023-03-26(日),920,293
2023074,2023-03-25(六),184,130
2023073,2023-03-24(五),514,47
2023072,2023-03-23(四),496,877
2023071,2023-03-22(三),295,3315
2023070,2023-03-21(二),981,768
2023069,2023-03-20(一),74,2075
2023068,2023-03-19(日),799,750
2023067,2023-03-18(六),90,293
2023066,2023-03-17(五),198,323
2023065,2023-03-16(四),573,365
2023064,2023-03-15(三),217,1192
2023063,2023-03-14(二),10,411
2023062,2023-03-13(一),732,239
2023061,2023-03-12(日),235,482
2023060,2023-03-11(六),86,383
2023059,2023-03-10(五),59,375
2023058,2023-03-09(四),767,105
2023057,2023-03-08(三),973,175
2023056,2023-03-07(二),156,279
2023055,2023-03-06(一),873,591
2023054,2023-03-05(日),117,187
2023053,2023-03-04(六),310,3158
2023052,2023-03-03(五),150,258
2023051,2023-03-02(四),66,560
2023050,2023-03-01(三),602,224
2023049,2023-02-28(二),735,2051
2023048,2023-02-27(一),306,1205
2023047,2023-02-26(日),159,1950
2023046,2023-02-25(六),103,1150
2023045,2023-02-24(五),700,482
2023044,2023-02-23(四),811,683
2023043,2023-02-22(三),918,
2023042,2023-02-21(二),728,1498
2023041,2023-02-20(一),133,492
2023040,2023-02-19(日),413,3295
2023039,2023-02-18(六),919,1664
2023038,2023-02-17(五),845,18
2023037,2023-02-16(四),638,145
2023036,2023-02-15(三),380,549
2023035,2023-02-14(二),104,3385
2023034,2023-02-13(一),842,1122
2023033,2023-02-12(日),519,289
2023032,2023-02-11(六),139,100
2023031,2023-02-10(五),372,511
2023030,2023-02-09(四),752,289
2023029,2023-02-08(三),923,69
2023028,2023-02-07(二),43,576
2023027,2023-02-06(一),334,267
2023026,2023-02-05(日),514,98
2023025,2023-02-04(六),856,933
2023024,2023-02-03(五),495,3089
2023023,2023-02-02(四),527,62
2023022,2023-02-01(三),446,1200
2023021,2023-01-31(二),25,
2023020,2023-01-30(一),845,853
2023019,2023-01-29(日),874,347
2023018,2023-01-18(三),121,230
2023017,2023-01-17(二),53,316
2023016,2023-01-16(一),664,336
2023015,2023-01-15(日),532,203
2023014,2023-01-14(六),322,1388
2023013,2023-01-13(五),887,358
2023012,2023-01-12(四),648,19
2023011,2023-01-11(三),666,262
2023010,2023-01-10(二),206,3087
2023009,2023-01-09(一),783,193
2023008,2023-01-08(日),708,194
2023007,2023-01-07(六),817,1783
2023006,2023-01-06(五),715,1085
2023005,2023-01-05(四),609,403
2023004,2023-01-04(三),398,277
2023003,2023-01-03(二),596,1985
2023002,2023-01-02(一),850,3380
2023001,2023-01-01(日),432,401
2022351,2022-12-31(六),249,1164
2022350,2022-12-30(五),688,569
2022349,2022-12-29(四),562,213
2022348,2022-12-28(三),158,2015
2022347,2022-12-27(二),357,1317
2022346,2022-12-26(一),903,824
2022345,2022-12-25(日),503,165
2022344,2022-12-24(六),648,1452
2022343,2022-12-23(五),580,395
2022342,2022-12-22(四),571,
2022341,2022-12-21(三),841,
